ID,Camera,Date,Sites,Location,Student Recorder,Organism,Debris,Code,Subcode,Count,Length,Width,Area,Biomass,Photo,ImageJ Measurement By,Notes
1,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,mantis shrimp,none,STOM,STOM,1,4.805,0.992,4.826,,,Anna Metzger,
2,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,decorator crab,concrete,MTHR,DECO,1,0.772,0.81,0.465,,,Anna Metzger,a little hard to see crab
3,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,chiton,wood,CHIT,CHIT,1,1.929,0.656,1.094,,,Anna Metzger,
4,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,mithrax,none,MTHR,CLNG,1,0.664,0.971,0.405,,,Anna Metzger,
5,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,mithrax,none,MTHR,CLNG,1,0.787,1.108,0.648,,,Anna Metzger,
6,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,snapping shrimp,none,CARD,SNAP,1,1.963,0.47,0.659,,,Anna Metzger,
7,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,brittle star,none,OPHR,OPHR,1,1.62,1.576,2.304,,,Anna Metzger,
8,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,orange striped shrimp,none,CARD,SNAP,1,1.409,0.301,0.326,,,Anna Metzger,very small but tried to get accurate as i could
9,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,brittle star,rope,OPHR,OPHR,1,0.92,0.915,0.681,,,Anna Metzger,
10,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,brittle star,rope,OPHR,OPHR,1,0.48,0.573,0.22,,,Anna Metzger,
11,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,brittle star,rope,OPHR,OPHR,1,0.905,0.948,0.825,,,Anna Metzger,
12,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,brittle star,rope,OPHR,OPHR,1,1.025,0.796,0.618,,,Anna Metzger,
13,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,brittle star,rope,OPHR,OPHR,1,0.916,0.839,0.475,,,Anna Metzger,
14,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,grass shrimp,rope,CARD,PALA,1,2.345,0.488,0.876,,,Anna Metzger,
15,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,grass shrimp,rope,CARD,PALA,1,1.958,0.453,0.725,,,Anna Metzger,
16,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,star coral,crab trap,HCOR,SSPP,1,0.935,0.406,0.345,,,Anna Metzger,
17,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,polychaete,none,POLY,POLY,1,6.303,0.532,2.061,,,Anna Metzger,
18,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,star coral,trap mesh,HCOR,SSPP,1,3.23,1.216,3.131,,,Anna Metzger,
19,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,green mithrax,none,MTHR,CLNG,1,1.126,1.218,0.883,,,Anna Metzger,
20,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,green mithrax,mesh bag,MTHR,CLNG,1,1.198,1.387,1.199,,,Anna Metzger,
