"","ID","Camera","Date","Sites","Location","Student Recorder","Organism","Debris","Code","Subcode","Count","Length","Width","Area","Biomass","Photo","ImageJ Measurement By","Notes","Model"
"1",1,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mantis shrimp","none","STOM","STOM",1,4.805,0.992,4.826,"0.550151040483916",NA,"Anna Metzger",NA,"WPOLY"
"2",2,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","decorator crab","concrete","MTHR","DECO",1,0.772,0.81,0.465,"0.211388474654453",NA,"Anna Metzger","a little hard to see crab","LPOLY"
"3",3,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","chiton","wood","CHIT","CHIT",1,1.929,0.656,1.094,"NA",NA,"Anna Metzger",NA,NA
"4",4,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mithrax","none","MTHR","CLNG",1,0.664,0.971,0.405,"1.11762441641396",NA,"Anna Metzger",NA,"LPOLY"
"5",5,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mithrax","none","MTHR","CLNG",1,0.787,1.108,0.648,"1.02539062190123",NA,"Anna Metzger",NA,"LPOLY"
"6",6,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","snapping shrimp","none","CARD","SNAP",1,1.963,0.47,0.659,"2.01793087179133",NA,"Anna Metzger",NA,"LM"
"7",7,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","none","OPHR","OPHR",1,1.62,1.576,2.304,"-0.940162505616988",NA,"Anna Metzger",NA,"WPOLY"
"8",8,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","orange striped shrimp","none","CARD","SNAP",1,1.409,0.301,0.326,"1.46393087179133",NA,"Anna Metzger","very small but tried to get accurate as i could","LM"
"9",9,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.92,0.915,0.681,"-0.115531298739811",NA,"Anna Metzger",NA,"WPOLY"
"10",10,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.48,0.573,0.22,"0.116387727772295",NA,"Anna Metzger",NA,"WPOLY"
"11",11,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.905,0.948,0.825,"-0.144935010408283",NA,"Anna Metzger",NA,"WPOLY"
"12",12,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,1.025,0.796,0.618,"-0.0197686883032827",NA,"Anna Metzger",NA,"WPOLY"
"13",13,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.916,0.839,0.475,"-0.0525166689527261",NA,"Anna Metzger",NA,"WPOLY"
"14",14,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","grass shrimp","rope","CARD","PALA",1,2.345,0.488,0.876,"1.071265301625",NA,"Anna Metzger",NA,"WPOLY"
"15",15,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","grass shrimp","rope","CARD","PALA",1,1.958,0.453,0.725,"1.04797554389394",NA,"Anna Metzger",NA,"WPOLY"
"16",16,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","star coral","crab trap","HCOR","SSPP",1,0.935,0.406,0.345,"2.348",NA,"Anna Metzger",NA,"MEDIAN"
"17",17,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","polychaete","none","POLY","POLY",1,6.303,0.532,2.061,"6.4415896776537",NA,"Anna Metzger",NA,"LM"
"18",18,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","star coral","trap mesh","HCOR","SSPP",1,3.23,1.216,3.131,"2.348",NA,"Anna Metzger",NA,"MEDIAN"
"19",19,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","green mithrax","none","MTHR","CLNG",1,1.126,1.218,0.883,"0.420384538519205",NA,"Anna Metzger",NA,"LPOLY"
"20",20,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","green mithrax","mesh bag","MTHR","CLNG",1,1.198,1.387,1.199,"0.225606045170383",NA,"Anna Metzger",NA,"LPOLY"
"21",21,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","snail","mesh bag","GAST","OSNL",1,1.099,1.001,1.034,"1.42254040485267",NA,"Anna Metzger",NA,"LM"
"22",22,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","clinging crab","none","MTHR","CLNG",1,0.236,0.272,0.102,"0.91034880126973",NA,"Anna Metzger",NA,"LPOLY"
"23",23,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","hard coral","rope","HCOR","DICH",1,2.428,2.091,4.901,"NA",NA,"Anna Metzger",NA,NA
"24",24,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","hard coral","rope","HCOR","DICH",1,1.862,2.913,4.294,"NA",NA,"Anna Metzger",NA,NA
